Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,County,Santa Barbara,Fire,Team/Project Leader-Battalion Chief Shift,False,False,,84384,123706,,140405,120003,0,20381,280789,52942,0,344,12438,65724,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Equipment Operator Supervisor,False,False,,111216,134064,,121673,142814,0,16242,280729,47801,0,0,19980,67781,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Behavioral Wellness,Assistant Department Leader-Psychiatrist,False,False,,206737,307193,,273120,0,0,7392,280512,60530,0,0,11869,72399,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Behavioral Wellness,Psychiatrist,False,False,,233565,266899,,241033,0,0,39310,280343,10506,0,0,30876,41382,2% @ 62,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Health,Staff Physician,False,False,,204108,233101,,228181,0,0,47888,276069,10504,0,0,10756,21260,2% @ 62,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,123129,140924,0,11135,275188,45299,0,0,12464,57763,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Sheriff,Forensic Pathologist,False,False,,258055,294784,,261664,0,0,13132,274796,10506,0,0,12048,22554,2% @ 62,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Shift,False,False,,66379,79810,,97010,167399,0,9828,274237,40873,0,0,22410,63283,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,108424,139191,0,23089,270704,50802,0,0,26883,77685,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Shift,False,False,,66379,79810,,97804,163418,0,9178,270400,36794,0,0,12558,49352,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Staff,False,False,,92928,111738,,98006,145451,0,26746,270203,27072,0,0,21618,48690,2.7% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,108646,149891,0,11135,269672,45298,0,0,26883,72181,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Staff,False,False,,106182,127918,,108627,135241,0,20266,264134,47138,0,0,26733,73871,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Team/Project Leader-Battalion Chief Shift,False,False,,84384,123706,,126477,116755,0,19604,262836,54538,0,345,26283,81166,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Health,Staff Physician,False,False,,204108,233101,,228450,0,0,34332,262782,56395,0,0,9085,65480,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Behavioral Wellness,Psychiatrist,False,False,,233565,266899,,245644,13838,0,660,260142,10506,0,0,24331,34837,2% @ 62,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Staff,False,False,,92928,111738,,109389,127732,0,22730,259851,42797,0,0,10208,53005,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,105874,130532,0,22680,259086,50575,0,0,27080,77655,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Health,Assistant Department Leader-Attorney/Physician,False,False,,181330,267401,,251710,0,0,4892,256602,55353,0,0,11792,67145,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Behavioral Wellness,Staff Physician,False,False,,204108,233101,,167531,42170,0,45766,255467,46585,0,0,11672,58257,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Team/Project Leader-Battalion Chief Shift,False,False,,84384,123706,,118680,115711,0,20953,255344,53867,0,350,37047,91264,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,108700,124525,0,22086,255311,48901,0,0,26883,75784,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Health,Staff Physician Supervisor,False,False,,216233,247010,,228781,466,0,25754,255001,57483,0,0,24364,81847,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Behavioral Wellness,Psychiatrist,False,False,,233565,266899,,254939,0,0,0,254939,10506,0,0,17736,28242,2% @ 62,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Team/Project Leader-Battalion Chief Shift,False,False,,84384,123706,,138370,90481,0,24674,253525,58944,0,365,10088,69397,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Health,Staff Physician,False,False,,204108,233101,,228605,879,0,22888,252372,53752,0,0,10333,64085,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,122999,104579,0,24436,252014,48988,0,0,12558,61546,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Health,Staff Physician Supervisor,False,False,,216233,247010,,239856,0,0,12127,251983,54564,0,0,12634,67198,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Health,Staff Physician,False,False,,204108,233101,,209467,18053,0,22888,250408,53944,0,0,29941,83885,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Staff,False,False,,106182,127918,,89629,126021,0,33457,249107,53058,0,0,32037,85095,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Equipment Operator,False,False,,101858,122641,,115195,119471,0,14014,248680,43456,0,0,13178,56634,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Health,Staff Physician,False,False,,204108,233101,,223880,0,0,24388,248268,54265,0,0,15052,69317,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,County Counsel,Department/Corporate Leader-Attorney/Physician,False,False,,192373,283350,,235048,0,0,12480,247528,53207,0,0,800,54007,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Firefighter Shift,False,False,,60324,72430,,94234,144225,0,8993,247452,37118,0,0,15125,52243,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Staff,False,False,,106182,127918,,116354,101145,0,29726,247225,50189,0,0,19265,69454,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Health,Staff Physician Supervisor,False,False,,216233,247010,,222759,0,0,24254,247013,10506,0,0,29834,40340,2% @ 62,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Shift,False,False,,66379,79810,,107147,125022,0,14140,246309,40733,0,0,12558,53291,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Team/Project Leader-Battalion Chief Shift,False,False,,84384,123706,,131554,98884,0,15203,245641,50926,0,330,20828,72084,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Team/Project Leader-Battalion Chief Staff,False,False,,118134,173185,,117449,100884,0,26567,244900,53676,0,335,32641,86652,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Team/Project Leader-Battalion Chief Shift,False,False,,84384,123706,,128508,97236,0,17625,243369,51921,0,343,24533,76797,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Health,Staff Physician,False,False,,204108,233101,,206873,0,0,35832,242705,56717,0,0,32411,89128,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Health,Staff Physician,False,False,,204108,233101,,228883,0,0,12944,241827,10487,0,0,0,10487,2% @ 62,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,District Attorney,Department/Corporate Leader-District Attorney,True,False,,192373,283350,,235683,0,0,5980,241663,51996,0,0,11792,63788,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Team/Project Leader-Battalion Chief Shift,False,False,,84384,123706,,125460,95674,0,19898,241032,52483,0,330,26883,79696,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,121401,107439,0,11135,239975,45302,0,0,14139,59441,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,111377,116653,0,11731,239761,46958,0,0,24159,71117,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,125306,102939,0,11135,239380,45303,0,0,0,45303,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Equipment Operator,False,False,,101858,122641,,105762,121515,0,11915,239192,42779,0,0,24676,67455,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Sheriff,Executive Leader-Sheriff,True,False,,177590,261288,,232688,0,0,5980,238668,85342,0,0,0,85342,3% @ 50,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,County Executive Office,Department/Corporate Leader-Executive,False,False,,161025,236633,,229251,0,0,8480,237731,0,0,0,110,110,N/A,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Team/Project Leader-Battalion Chief Shift,False,False,,84384,123706,,136840,79347,0,19508,235695,53958,0,354,11970,66282,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,109256,113115,0,11135,233506,45301,0,0,26258,71559,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,123357,87371,0,22086,232814,48911,0,0,12189,61100,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Team/Project Leader-Battalion Chief Shift,False,False,,84384,123706,,126127,86660,0,19873,232660,52872,0,345,27476,80693,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Staff,False,False,,106182,127918,,106201,82303,0,42712,231216,54394,0,0,26883,81277,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Sheriff,Chief Deputy Sheriff,False,False,,176205,213119,,209238,9801,0,11287,230326,31974,0,0,0,31974,2.7% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,109034,109825,0,11135,229994,46760,0,0,26349,73109,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Firefighter Shift,False,False,,60324,72430,,85302,135294,0,8993,229589,23602,0,0,24283,47885,2.7% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,109021,108336,0,11135,228492,45302,0,0,26562,71864,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,110692,95177,0,22086,227955,48906,0,0,24783,73689,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Sheriff,Assistant Department Leader-Sheriff,False,False,,177590,261288,,223516,0,0,2392,225908,83537,0,0,11792,95329,3% @ 50,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Auditor-Controller,Department/Corporate Leader-Elected,True,False,,161025,236633,,219627,0,0,5980,225607,48229,0,0,10333,58562,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Shift,False,False,,66379,79810,,102882,107734,0,14934,225550,25128,0,0,11464,36592,2.7% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,108734,104869,0,11135,224738,45303,0,0,26883,72186,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Shift,False,False,,66379,79810,,107204,96273,0,20778,224255,43205,0,0,12369,55574,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Health,Staff Physician,False,False,,204108,233101,,212620,0,0,11444,224064,10484,0,0,26317,36801,2% @ 62,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Defender,Department/Corporate Leader-Attorney/Physician,False,False,,192373,283350,,217233,0,0,5980,223213,10476,0,0,28422,38898,2% @ 62,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Staff,False,False,,106182,127918,,108736,87937,0,26457,223130,49140,0,0,26883,76023,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Health,Department/Corporate Leader-Executive,False,False,,161025,236633,,205743,0,0,15980,221723,33069,0,0,10775,43844,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,117206,93014,0,11135,221355,45304,0,0,15544,60848,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Staff,False,False,,106182,127918,,125407,76859,0,19028,221294,46913,0,0,0,46913,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Shift,False,False,,66379,79810,,107266,104144,0,9828,221238,39603,0,0,12438,52041,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,106430,102150,0,10997,219577,44619,0,0,26893,71512,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Shift,False,False,,66379,79810,,105867,93057,0,20560,219484,27785,0,0,10893,38678,2.7% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,108317,88791,0,22086,219194,48918,0,0,27279,76197,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Department/Corporate Leader-Fire,False,False,,161025,236633,,212045,0,0,5980,218025,31971,0,0,17108,49079,2.7% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Equipment Operator,False,False,,101858,122641,,118714,85632,0,13458,217804,43273,0,0,11748,55021,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Clerk-Recorder-Assessor,Department/Corporate Leader-Elected,True,False,,161025,236633,,211635,0,0,5980,217615,47745,0,0,16217,63962,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,121014,85336,0,11135,217485,46763,0,0,14603,61366,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Shift,False,False,,66379,79810,,107170,96755,0,12818,216743,40266,0,0,12514,52780,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,County Executive Office,Department/Corporate Leader-Executive,False,False,,161025,236633,,203081,0,0,13480,216561,49051,0,0,29921,78972,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Shift,False,False,,66379,79810,,106437,100282,0,9828,216547,39602,0,0,12978,52580,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Works,Department/Corporate Leader-Executive,False,False,,161025,236633,,210369,0,0,5980,216349,46296,0,0,10333,56629,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,119576,74630,0,22086,216292,48917,0,0,16010,64927,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,121522,83426,0,11135,216083,45304,0,0,14095,59399,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,County Executive Office,Department/Corporate Leader-Executive,False,False,,161025,236633,,209395,0,0,5980,215375,10492,0,0,12869,23361,2% @ 62,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Shift,False,False,,66379,79810,,92788,113185,0,9345,215318,24732,0,0,21583,46315,2.7% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Sheriff,Sheriffs Lieutenant,False,False,,140078,169017,,143141,60594,0,10706,214441,64240,0,0,32123,96363,3% @ 50,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Treasurer-Tax Collector-Public,Department/Corporate Leader-Elected,True,False,,161025,236633,,206731,0,0,5980,212711,47913,0,0,20828,68741,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Sheriff,Custody Commander,False,False,,141852,171186,,167789,34929,0,9228,211946,65061,0,0,10333,75394,3% @ 50,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Shift,False,False,,66379,79810,,93859,106908,0,9828,210595,39602,0,0,25283,64885,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Shift,False,False,,66379,79810,,108540,91219,0,9924,209683,39636,0,0,11164,50800,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Social Services,Department/Corporate Leader-Executive,False,False,,161025,236633,,203517,0,0,5980,209497,10490,0,0,21818,32308,2% @ 62,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,97350,101526,0,10517,209393,42947,0,0,10136,53083,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Assistant Department Leader-Fire,False,False,,154783,227806,,186432,0,0,22697,209129,72966,0,0,26365,99331,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,125587,72354,0,10660,208601,44817,0,0,0,44817,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Shift,False,False,,66379,79810,,108167,77459,0,22769,208395,28831,0,0,11408,40239,2.7% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,110748,86420,0,11135,208303,45304,0,0,24783,70087,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,123103,74019,0,11135,208257,45304,0,0,12438,57742,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,District Attorney,Program/Business Leader-Attorney,False,False,,148337,218227,,207175,0,0,0,207175,44309,0,498,10212,55019,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,124143,71667,0,11135,206945,45306,0,0,11364,56670,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,111051,73622,0,22149,206822,48301,0,0,17610,65911,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Firefighter Shift,False,False,,60324,72430,,99352,87001,0,19943,206296,25987,0,0,10208,36195,2.7% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,103037,92720,0,10517,206274,42949,0,0,26072,69021,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Community Services,Department/Corporate Leader-Executive,False,False,,161025,236633,,197454,0,0,8480,205934,10501,0,0,0,10501,2% @ 62,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
